PLAYER_ID,Player,Team,Age,G,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,ORB,DRB,PlusMinus,WinPct,Season,NetRtg,USG%,PIE,ORtg,DRtg,TS%,AST%,REB%,Height_IN,Height,Weight,DraftYear,DraftRound,DraftNumber,BPM,WS,WS40,Pos
100690,Coco Miller,WAS,25.0,33,32.5,12.5,3.8,2.6,1.2,0.2,1.6,0.45,0.36,0.698,1.7,2.2,-3.1,0.242,2003,-5.3,0.2,0.095,95.8,101.1,0.509,0.159,0.062,69.0,5-9,140.0,2001.0,1.0,9.0,-5.22,2.55,0.095,G
100217,Coquese Washington,IND,33.0,20,17.5,3.2,1.5,2.4,0.7,0.1,1.5,0.284,0.292,0.846,0.1,1.4,-0.9,0.4,2003,-2.0,0.144,0.05,100.0,102.0,0.433,0.249,0.048,,,,,,,-5.64,0.44,0.05,G
100848,Coretta Brown,IND,23.0,30,17.4,6.2,1.4,1.0,0.7,0.1,1.2,0.372,0.36,0.848,0.4,1.0,-0.2,0.467,2003,-0.8,0.197,0.079,100.0,100.8,0.521,0.124,0.045,69.0,5-9,150.0,2003.0,1.0,11.0,-3.78,1.03,0.079,G
100345,Crystal Robinson,NYL,30.0,33,32.6,12.0,2.1,1.9,1.2,0.4,1.3,0.439,0.369,0.839,0.4,1.7,-0.2,0.485,2003,0.0,0.187,0.093,96.6,96.5,0.563,0.125,0.038,71.0,5-11,155.0,1999.0,1.0,6.0,-3.34,2.5,0.093,F
100073,Cynthia Cooper,HOU,41.0,4,36.2,16.0,2.5,5.5,1.0,0.3,3.5,0.421,0.389,0.893,0.5,2.0,-2.8,0.5,2003,-4.8,0.226,0.139,97.6,102.4,0.636,0.301,0.039,70.0,5-10,150.0,1997.0,,,-3.75,0.5,0.139,G
100364,Dalma Ivanyi,PHO,28.0,4,8.6,1.5,1.0,0.5,0.0,0.3,0.5,0.375,0.0,0.0,0.5,0.5,-3.8,0.25,2003,-24.8,0.13,0.014,60.9,85.7,0.375,0.154,0.058,70.0,5-10,135.0,1999.0,4.0,39.0,-15.69,0.01,0.014,G
100372,Dawn Staley,CHA,34.0,34,31.9,7.9,1.7,5.1,1.4,0.1,2.3,0.417,0.389,0.836,0.4,1.3,-0.8,0.529,2003,-1.2,0.153,0.108,98.3,99.6,0.542,0.329,0.031,66.0,5-6,134.0,1999.0,1.0,9.0,-4.03,2.93,0.108,G
100396,DeLisha Milton-Jones,LAS,29.0,31,35.0,13.4,7.1,2.1,1.6,1.3,2.5,0.424,0.377,0.804,1.9,5.2,4.0,0.742,2003,5.7,0.203,0.12,98.9,93.2,0.532,0.111,0.103,73.0,6-1,172.0,1999.0,1.0,4.0,-0.27,3.26,0.12,F
100533,DeMya Walker,SAC,26.0,34,21.7,9.0,4.4,1.4,0.7,0.7,2.0,0.459,0.133,0.58,1.8,2.6,1.7,0.559,2003,5.0,0.238,0.101,93.8,88.9,0.503,0.134,0.108,76.0,6-4,168.0,,,,-0.41,1.86,0.101,F
100727,Deanna Jackson,IND,24.0,34,22.4,7.2,2.6,1.5,0.6,0.4,1.0,0.419,0.414,0.714,1.1,1.5,1.8,0.5,2003,4.9,0.168,0.079,99.8,94.8,0.535,0.134,0.066,74.0,6-2,159.0,2002.0,1.0,8.0,-1.94,1.5,0.079,F
100639,Deanna Nolan,DET,24.0,32,29.8,12.4,3.3,2.6,1.3,0.4,2.2,0.436,0.421,0.792,0.4,3.0,5.6,0.75,2003,9.8,0.2,0.127,100.8,90.9,0.559,0.161,0.058,72.0,6-0,160.0,2001.0,1.0,6.0,1.46,3.03,0.127,G-F
100359,Debbie Black,CON,37.0,34,10.9,1.6,1.5,1.4,0.6,0.1,0.5,0.353,0.333,0.667,0.5,1.0,-1.4,0.529,2003,-6.5,0.116,0.092,85.6,92.1,0.382,0.243,0.071,63.0,5-3,124.0,1999.0,2.0,15.0,-7.02,0.85,0.092,G
100384,Dominique Canty,HOU,27.0,32,20.3,5.4,3.1,1.8,0.7,0.0,1.5,0.379,0.0,0.667,1.1,2.0,1.5,0.563,2003,4.7,0.184,0.072,96.4,91.7,0.463,0.162,0.089,69.0,5-9,162.0,1999.0,3.0,29.0,-1.92,1.17,0.072,G
100375,Edna Campbell,SAC,35.0,34,21.2,7.9,2.1,1.3,0.6,0.1,1.3,0.402,0.414,0.758,0.5,1.6,-2.6,0.559,2003,-7.1,0.193,0.099,87.9,95.0,0.516,0.126,0.049,68.0,5-8,152.0,1999.0,1.0,10.0,-5.96,1.78,0.099,G
100760,Edniesha Curry,PHO,24.0,20,10.2,1.7,0.6,1.2,0.5,0.0,0.8,0.371,0.227,0.667,0.1,0.5,0.3,0.25,2003,0.9,0.118,0.043,83.4,82.5,0.454,0.245,0.032,64.0,5-4,138.0,2002.0,3.0,41.0,-5.01,0.22,0.043,G
100492,Edwina Brown,PHO,25.0,34,15.5,3.5,2.1,1.8,0.9,0.2,1.4,0.27,0.0,0.818,0.9,1.2,-0.8,0.235,2003,-2.9,0.203,0.068,85.3,88.2,0.344,0.255,0.076,69.0,5-9,163.0,2000.0,1.0,3.0,-4.75,0.9,0.068,G-F
100414,Elaine Powell,DET,28.0,33,28.5,9.0,3.2,3.9,1.4,0.3,2.4,0.451,0.35,0.745,1.3,1.9,4.7,0.727,2003,8.0,0.172,0.111,101.1,93.1,0.529,0.242,0.058,69.0,5-9,147.0,1999.0,4.0,50.0,0.0,2.61,0.111,G
100043,Elena Baranova,NYL,32.0,33,25.8,8.4,5.5,1.9,1.1,1.3,1.9,0.416,0.363,0.886,1.4,4.1,0.9,0.485,2003,2.4,0.198,0.124,101.0,98.6,0.51,0.15,0.125,77.0,6-5,182.0,1997.0,,,-1.59,2.64,0.124,F
100748,Felicia Ragland,HOU,24.0,3,12.9,1.7,0.7,0.7,0.7,0.0,1.0,0.083,0.2,1.0,0.0,0.7,-7.3,0.333,2003,-33.1,0.172,-0.108,61.3,94.4,0.194,0.111,0.023,67.0,5-7,133.0,2002.0,2.0,28.0,-20.82,-0.1,-0.108,G
100482,Grace Daley,PHO,26.0,3,9.1,0.7,0.7,1.0,0.0,0.3,1.0,0.2,0.0,0.0,0.3,0.3,-0.7,0.0,2003,-4.3,0.151,-0.038,78.7,83.0,0.2,0.214,0.047,,,,2000.0,1.0,5.0,-8.22,-0.03,-0.038,G
100867,Gwen Jackson,SAN,23.0,33,29.6,8.8,6.2,0.6,0.5,0.5,1.4,0.399,0.167,0.636,2.6,3.6,-3.7,0.364,2003,-6.7,0.174,0.076,90.0,96.7,0.445,0.043,0.104,74.0,6-2,184.0,2003.0,1.0,6.0,-6.55,1.86,0.076,F
100731,Hamchetou Maiga-Ba,SAC,26.0,22,8.7,1.9,1.7,0.6,0.8,0.1,0.6,0.327,0.0,0.4,0.6,1.1,2.0,0.727,2003,11.7,0.185,0.048,95.1,83.5,0.345,0.125,0.104,73.0,6-1,160.0,2002.0,1.0,12.0,0.41,0.23,0.048,F
100457,Helen Darling,MIN,25.0,34,24.4,4.1,2.6,3.8,1.1,0.2,2.2,0.308,0.324,0.732,0.7,1.8,0.6,0.5,2003,1.3,0.137,0.062,95.0,93.7,0.438,0.28,0.058,66.0,5-6,164.0,2000.0,2.0,17.0,-4.18,1.29,0.062,G
